date,week,state,region,channel,treated,geolift_period,spend_brl,impressions,conv_shapley,conv_true_incremental,cac_shapley_brl,cac_true_brl
2023-01-02,1,SP,Sudeste,youtube,1,0,196702.83,10927934,0,0,,
2023-01-02,1,RJ,Sudeste,youtube,1,0,73989.14,4110507,0,0,,
2023-01-02,1,MG,Sudeste,youtube,0,0,92035.27,5113070,0,0,,
2023-01-02,1,ES,Sudeste,youtube,0,0,17143.82,952434,0,0,,
2023-01-02,1,PR,Sul,youtube,1,0,50529.17,2807175,0,0,,
2023-01-02,1,SC,Sul,youtube,0,0,32483.04,1804613,0,0,,
2023-01-02,1,RS,Sul,youtube,1,0,50529.17,2807175,0,0,,
2023-01-02,1,BA,Nordeste,youtube,0,0,64966.07,3609226,0,0,,
2023-01-02,1,CE,Nordeste,youtube,1,0,40603.8,2255766,0,0,,
2023-01-02,1,PE,Nordeste,youtube,0,0,43310.71,2406150,0,0,,
2023-01-02,1,MA,Nordeste,youtube,0,0,30678.42,1704356,0,0,,
2023-01-02,1,PB,Nordeste,youtube,0,0,18046.13,1002562,0,0,,
2023-01-02,1,RN,Nordeste,youtube,0,0,16241.52,902306,0,0,,
2023-01-02,1,AL,Nordeste,youtube,0,0,14436.9,802050,0,0,,
2023-01-02,1,SE,Nordeste,youtube,0,0,9925.37,551409,0,0,,
2023-01-02,1,PI,Nordeste,youtube,0,0,14436.9,802050,0,0,,
2023-01-02,1,GO,Centro-Oeste,youtube,0,0,29776.12,1654228,0,0,,
2023-01-02,1,MT,Centro-Oeste,youtube,0,0,15339.21,852178,0,0,,
2023-01-02,1,MS,Centro-Oeste,youtube,0,0,11729.99,651665,0,0,,
2023-01-02,1,DF,Centro-Oeste,youtube,0,0,12632.29,701793,0,0,,
2023-01-02,1,AM,Norte,youtube,0,0,18046.13,1002562,0,0,,
2023-01-02,1,PA,Norte,youtube,0,0,37896.88,2105381,0,0,,
2023-01-02,1,RO,Norte,youtube,0,0,7218.45,401025,0,0,,
2023-01-02,1,AC,Norte,youtube,0,0,3609.23,200512,0,0,,
2023-01-02,1,RR,Norte,youtube,0,0,2706.92,150384,0,0,,
2023-01-02,1,AP,Norte,youtube,0,0,3609.23,200512,0,0,,
2023-01-02,1,TO,Norte,youtube,0,0,6316.15,350896,0,0,,
2023-01-02,1,SP,Sudeste,meta,1,0,172114.98,14342914,0,0,,
2023-01-02,1,RJ,Sudeste,meta,1,0,64740.5,5395041,0,0,,
2023-01-02,1,MG,Sudeste,meta,0,0,80530.86,6710904,1,0,80530.86,
2023-01-02,1,ES,Sudeste,meta,0,0,15000.85,1250070,0,0,,
2023-01-02,1,PR,Sul,meta,1,0,44213.02,3684418,0,0,,
2023-01-02,1,SC,Sul,meta,0,0,28422.66,2368554,0,0,,
2023-01-02,1,RS,Sul,meta,1,0,44213.02,3684418,0,0,,
2023-01-02,1,BA,Nordeste,meta,0,0,56845.31,4737109,0,0,,
2023-01-02,1,CE,Nordeste,meta,1,0,35528.32,2960693,0,0,,
2023-01-02,1,PE,Nordeste,meta,0,0,37896.88,3158072,0,0,,
2023-01-02,1,MA,Nordeste,meta,0,0,26843.62,2236968,0,0,,
2023-01-02,1,PB,Nordeste,meta,0,0,15790.36,1315863,0,0,,
2023-01-02,1,RN,Nordeste,meta,0,0,14211.33,1184277,0,0,,
2023-01-02,1,AL,Nordeste,meta,0,0,12632.29,1052690,0,0,,
2023-01-02,1,SE,Nordeste,meta,0,0,8684.7,723725,0,0,,
2023-01-02,1,PI,Nordeste,meta,0,0,12632.29,1052690,0,0,,
2023-01-02,1,GO,Centro-Oeste,meta,0,0,26054.1,2171175,0,0,,
2023-01-02,1,MT,Centro-Oeste,meta,0,0,13421.81,1118484,0,0,,
2023-01-02,1,MS,Centro-Oeste,meta,0,0,10263.74,855311,0,0,,
2023-01-02,1,DF,Centro-Oeste,meta,0,0,11053.26,921104,0,0,,
2023-01-02,1,AM,Norte,meta,0,0,15790.36,1315863,0,0,,
2023-01-02,1,PA,Norte,meta,0,0,33159.77,2763313,0,0,,
2023-01-02,1,RO,Norte,meta,0,0,6316.15,526345,0,0,,
2023-01-02,1,AC,Norte,meta,0,0,3158.07,263172,0,0,,
2023-01-02,1,RR,Norte,meta,0,0,2368.55,197379,0,0,,
2023-01-02,1,AP,Norte,meta,0,0,3158.07,263172,0,0,,
2023-01-02,1,TO,Norte,meta,0,0,5526.63,460552,0,0,,
2023-01-02,1,SP,Sudeste,search,1,0,122939.27,15367408,0,0,,
2023-01-02,1,RJ,Sudeste,search,1,0,46243.21,5780401,0,0,,
2023-01-02,1,MG,Sudeste,search,0,0,57522.04,7190255,0,0,,
2023-01-02,1,ES,Sudeste,search,0,0,10714.89,1339361,0,0,,
2023-01-02,1,PR,Sul,search,1,0,31580.73,3947591,0,0,,
2023-01-02,1,SC,Sul,search,0,0,20301.9,2537737,0,0,,
2023-01-02,1,RS,Sul,search,1,0,31580.73,3947591,0,0,,
2023-01-02,1,BA,Nordeste,search,0,0,40603.8,5075474,0,0,,
2023-01-02,1,CE,Nordeste,search,1,0,25377.37,3172171,0,0,,
2023-01-02,1,PE,Nordeste,search,0,0,27069.2,3383649,0,0,,
2023-01-02,1,MA,Nordeste,search,0,0,19174.01,2396751,0,0,,
2023-01-02,1,PB,Nordeste,search,0,0,11278.83,1409853,0,0,,
2023-01-02,1,RN,Nordeste,search,0,0,10150.95,1268868,0,0,,
2023-01-02,1,AL,Nordeste,search,0,0,9023.07,1127883,0,0,,
2023-01-02,1,SE,Nordeste,search,0,0,6203.36,775419,0,0,,
2023-01-02,1,PI,Nordeste,search,0,0,9023.07,1127883,0,0,,
2023-01-02,1,GO,Centro-Oeste,search,0,0,18610.07,2326259,0,0,,
2023-01-02,1,MT,Centro-Oeste,search,0,0,9587.01,1198375,0,0,,
2023-01-02,1,MS,Centro-Oeste,search,0,0,7331.24,916405,0,0,,
2023-01-02,1,DF,Centro-Oeste,search,0,0,7895.18,986897,0,0,,
2023-01-02,1,AM,Norte,search,0,0,11278.83,1409853,1,0,11278.83,
2023-01-02,1,PA,Norte,search,0,0,23685.55,2960693,0,0,,
2023-01-02,1,RO,Norte,search,0,0,4511.53,563941,0,0,,
2023-01-02,1,AC,Norte,search,0,0,2255.77,281970,0,0,,
2023-01-02,1,RR,Norte,search,0,0,1691.82,211478,0,0,,
2023-01-02,1,AP,Norte,search,0,0,2255.77,281970,0,0,,
2023-01-02,1,TO,Norte,search,0,0,3947.59,493448,0,0,,
2023-01-09,2,SP,Sudeste,youtube,1,0,239176.97,13287609,0,0,,
2023-01-09,2,RJ,Sudeste,youtube,1,0,89965.65,4998091,1,0,89965.65,
2023-01-09,2,MG,Sudeste,youtube,0,0,111908.49,6217138,0,0,,
2023-01-09,2,ES,Sudeste,youtube,0,0,20845.7,1158094,0,0,,
2023-01-09,2,PR,Sul,youtube,1,0,61439.95,3413330,0,0,,
2023-01-09,2,SC,Sul,youtube,0,0,39497.11,2194284,0,0,,
2023-01-09,2,RS,Sul,youtube,1,0,61439.95,3413330,1,0,61439.95,
2023-01-09,2,BA,Nordeste,youtube,0,0,78994.23,4388568,0,0,,
2023-01-09,2,CE,Nordeste,youtube,1,0,49371.39,2742855,0,0,,
2023-01-09,2,PE,Nordeste,youtube,0,0,52662.82,2925712,0,0,,
2023-01-09,2,MA,Nordeste,youtube,0,0,37302.83,2072379,0,0,,
2023-01-09,2,PB,Nordeste,youtube,0,0,21942.84,1219046,0,0,,
2023-01-09,2,RN,Nordeste,youtube,0,0,19748.56,1097142,0,0,,
2023-01-09,2,AL,Nordeste,youtube,0,0,17554.27,975237,0,0,,
2023-01-09,2,SE,Nordeste,youtube,0,0,12068.56,670475,0,0,,
2023-01-09,2,PI,Nordeste,youtube,0,0,17554.27,975237,0,0,,
