date,week,state,region,channel,treated,geolift_period,spend_brl,impressions,conv_shapley,conv_true_incremental,cac_shapley_brl,cac_true_brl,plan
2023-01-02,1,SP,Sudeste,youtube,1,0,49175.7075,2731984,0,0,,,Familia
2023-01-02,1,RJ,Sudeste,youtube,1,0,18497.285,1027627,0,0,,,Familia
2023-01-02,1,MG,Sudeste,youtube,0,0,23008.8175,1278268,0,0,,,Familia
2023-01-02,1,ES,Sudeste,youtube,0,0,4285.955,238108,0,0,,,Familia
2023-01-02,1,PR,Sul,youtube,1,0,12632.2925,701794,0,0,,,Familia
2023-01-02,1,SC,Sul,youtube,0,0,8120.76,451153,0,0,,,Familia
2023-01-02,1,RS,Sul,youtube,1,0,12632.2925,701794,0,0,,,Familia
2023-01-02,1,BA,Nordeste,youtube,0,0,16241.5175,902306,0,0,,,Familia
2023-01-02,1,CE,Nordeste,youtube,1,0,10150.95,563942,0,0,,,Familia
2023-01-02,1,PE,Nordeste,youtube,0,0,10827.6775,601538,0,0,,,Familia
2023-01-02,1,MA,Nordeste,youtube,0,0,7669.605,426089,0,0,,,Familia
2023-01-02,1,PB,Nordeste,youtube,0,0,4511.5325,250640,0,0,,,Familia
2023-01-02,1,RN,Nordeste,youtube,0,0,4060.38,225576,0,0,,,Familia
2023-01-02,1,AL,Nordeste,youtube,0,0,3609.225,200512,0,0,,,Familia
2023-01-02,1,SE,Nordeste,youtube,0,0,2481.3425,137852,0,0,,,Familia
2023-01-02,1,PI,Nordeste,youtube,0,0,3609.225,200512,0,0,,,Familia
2023-01-02,1,GO,Centro-Oeste,youtube,0,0,7444.03,413557,0,0,,,Familia
2023-01-02,1,MT,Centro-Oeste,youtube,0,0,3834.8025,213044,0,0,,,Familia
2023-01-02,1,MS,Centro-Oeste,youtube,0,0,2932.4975,162916,0,0,,,Familia
2023-01-02,1,DF,Centro-Oeste,youtube,0,0,3158.0725,175448,0,0,,,Familia
2023-01-02,1,AM,Norte,youtube,0,0,4511.5325,250640,0,0,,,Familia
2023-01-02,1,PA,Norte,youtube,0,0,9474.22,526345,0,0,,,Familia
2023-01-02,1,RO,Norte,youtube,0,0,1804.6125,100256,0,0,,,Familia
2023-01-02,1,AC,Norte,youtube,0,0,902.3075,50128,0,0,,,Familia
2023-01-02,1,RR,Norte,youtube,0,0,676.73,37596,0,0,,,Familia
2023-01-02,1,AP,Norte,youtube,0,0,902.3075,50128,0,0,,,Familia
2023-01-02,1,TO,Norte,youtube,0,0,1579.0375,87724,0,0,,,Familia
2023-01-02,1,SP,Sudeste,meta,1,0,43028.745,3585728,0,0,,,Familia
2023-01-02,1,RJ,Sudeste,meta,1,0,16185.125,1348760,0,0,,,Familia
2023-01-02,1,MG,Sudeste,meta,0,0,20132.715,1677726,0,0,,,Familia
2023-01-02,1,ES,Sudeste,meta,0,0,3750.2125,312518,0,0,,,Familia
2023-01-02,1,PR,Sul,meta,1,0,11053.255,921104,0,0,,,Familia
2023-01-02,1,SC,Sul,meta,0,0,7105.665,592138,0,0,,,Familia
2023-01-02,1,RS,Sul,meta,1,0,11053.255,921104,0,0,,,Familia
2023-01-02,1,BA,Nordeste,meta,0,0,14211.3275,1184277,0,0,,,Familia
2023-01-02,1,CE,Nordeste,meta,1,0,8882.08,740173,0,0,,,Familia
2023-01-02,1,PE,Nordeste,meta,0,0,9474.22,789518,0,0,,,Familia
2023-01-02,1,MA,Nordeste,meta,0,0,6710.905,559242,0,0,,,Familia
2023-01-02,1,PB,Nordeste,meta,0,0,3947.59,328966,0,0,,,Familia
2023-01-02,1,RN,Nordeste,meta,0,0,3552.8325,296069,0,0,,,Familia
2023-01-02,1,AL,Nordeste,meta,0,0,3158.0725,263172,0,0,,,Familia
2023-01-02,1,SE,Nordeste,meta,0,0,2171.175,180931,0,0,,,Familia
2023-01-02,1,PI,Nordeste,meta,0,0,3158.0725,263172,0,0,,,Familia
2023-01-02,1,GO,Centro-Oeste,meta,0,0,6513.525,542794,0,0,,,Familia
2023-01-02,1,MT,Centro-Oeste,meta,0,0,3355.4525,279621,0,0,,,Familia
2023-01-02,1,MS,Centro-Oeste,meta,0,0,2565.935,213828,0,0,,,Familia
2023-01-02,1,DF,Centro-Oeste,meta,0,0,2763.315,230276,0,0,,,Familia
2023-01-02,1,AM,Norte,meta,0,0,3947.59,328966,0,0,,,Familia
2023-01-02,1,PA,Norte,meta,0,0,8289.9425,690828,0,0,,,Familia
2023-01-02,1,RO,Norte,meta,0,0,1579.0375,131586,0,0,,,Familia
2023-01-02,1,AC,Norte,meta,0,0,789.5175,65793,0,0,,,Familia
2023-01-02,1,RR,Norte,meta,0,0,592.1375,49345,0,0,,,Familia
2023-01-02,1,AP,Norte,meta,0,0,789.5175,65793,0,0,,,Familia
2023-01-02,1,TO,Norte,meta,0,0,1381.6575,115138,0,0,,,Familia
2023-01-02,1,SP,Sudeste,search,1,0,30734.8175,3841852,0,0,,,Familia
2023-01-02,1,RJ,Sudeste,search,1,0,11560.8025,1445100,0,0,,,Familia
2023-01-02,1,MG,Sudeste,search,0,0,14380.51,1797564,0,0,,,Familia
2023-01-02,1,ES,Sudeste,search,0,0,2678.7225,334840,0,0,,,Familia
2023-01-02,1,PR,Sul,search,1,0,7895.1825,986898,0,0,,,Familia
2023-01-02,1,SC,Sul,search,0,0,5075.475,634434,0,0,,,Familia
2023-01-02,1,RS,Sul,search,1,0,7895.1825,986898,0,0,,,Familia
2023-01-02,1,BA,Nordeste,search,0,0,10150.95,1268868,0,0,,,Familia
2023-01-02,1,CE,Nordeste,search,1,0,6344.3425,793043,0,0,,,Familia
2023-01-02,1,PE,Nordeste,search,0,0,6767.3,845912,0,0,,,Familia
2023-01-02,1,MA,Nordeste,search,0,0,4793.5025,599188,0,0,,,Familia
2023-01-02,1,PB,Nordeste,search,0,0,2819.7075,352463,0,0,,,Familia
2023-01-02,1,RN,Nordeste,search,0,0,2537.7375,317217,0,0,,,Familia
2023-01-02,1,AL,Nordeste,search,0,0,2255.7675,281971,0,0,,,Familia
2023-01-02,1,SE,Nordeste,search,0,0,1550.84,193855,0,0,,,Familia
2023-01-02,1,PI,Nordeste,search,0,0,2255.7675,281971,0,0,,,Familia
2023-01-02,1,GO,Centro-Oeste,search,0,0,4652.5175,581565,0,0,,,Familia
2023-01-02,1,MT,Centro-Oeste,search,0,0,2396.7525,299594,0,0,,,Familia
2023-01-02,1,MS,Centro-Oeste,search,0,0,1832.81,229101,0,0,,,Familia
2023-01-02,1,DF,Centro-Oeste,search,0,0,1973.795,246724,0,0,,,Familia
2023-01-02,1,AM,Norte,search,0,0,2819.7075,352463,0,0,,,Familia
2023-01-02,1,PA,Norte,search,0,0,5921.3875,740173,0,0,,,Familia
2023-01-02,1,RO,Norte,search,0,0,1127.8825,140985,0,0,,,Familia
2023-01-02,1,AC,Norte,search,0,0,563.9425,70492,0,0,,,Familia
2023-01-02,1,RR,Norte,search,0,0,422.955,52870,0,0,,,Familia
2023-01-02,1,AP,Norte,search,0,0,563.9425,70492,0,0,,,Familia
2023-01-02,1,TO,Norte,search,0,0,986.8975,123362,0,0,,,Familia
2023-01-09,2,SP,Sudeste,youtube,1,0,59794.2425,3321902,0,0,,,Familia
2023-01-09,2,RJ,Sudeste,youtube,1,0,22491.4125,1249523,0,0,,,Familia
2023-01-09,2,MG,Sudeste,youtube,0,0,27977.1225,1554284,0,0,,,Familia
2023-01-09,2,ES,Sudeste,youtube,0,0,5211.425,289524,0,0,,,Familia
2023-01-09,2,PR,Sul,youtube,1,0,15359.9875,853332,0,0,,,Familia
2023-01-09,2,SC,Sul,youtube,0,0,9874.2775,548571,0,0,,,Familia
2023-01-09,2,RS,Sul,youtube,1,0,15359.9875,853332,0,0,,,Familia
2023-01-09,2,BA,Nordeste,youtube,0,0,19748.5575,1097142,0,0,,,Familia
2023-01-09,2,CE,Nordeste,youtube,1,0,12342.8475,685714,0,0,,,Familia
2023-01-09,2,PE,Nordeste,youtube,0,0,13165.705,731428,0,0,,,Familia
2023-01-09,2,MA,Nordeste,youtube,0,0,9325.7075,518095,0,0,,,Familia
2023-01-09,2,PB,Nordeste,youtube,0,0,5485.71,304762,0,0,,,Familia
2023-01-09,2,RN,Nordeste,youtube,0,0,4937.14,274286,0,0,,,Familia
2023-01-09,2,AL,Nordeste,youtube,0,0,4388.5675,243809,0,0,,,Familia
2023-01-09,2,SE,Nordeste,youtube,0,0,3017.14,167619,0,0,,,Familia
2023-01-09,2,PI,Nordeste,youtube,0,0,4388.5675,243809,0,0,,,Familia
2023-01-09,2,GO,Centro-Oeste,youtube,0,0,9051.4225,502857,0,0,,,Familia
2023-01-09,2,MT,Centro-Oeste,youtube,0,0,4662.8525,259047,0,0,,,Familia
2023-01-09,2,MS,Centro-Oeste,youtube,0,0,3565.7125,198095,0,0,,,Familia
2023-01-09,2,DF,Centro-Oeste,youtube,0,0,3839.9975,213333,0,0,,,Familia
2023-01-09,2,AM,Norte,youtube,0,0,5485.71,304762,0,0,,,Familia
2023-01-09,2,PA,Norte,youtube,0,0,11519.9925,640000,0,0,,,Familia
2023-01-09,2,RO,Norte,youtube,0,0,2194.285,121904,0,0,,,Familia
2023-01-09,2,AC,Norte,youtube,0,0,1097.1425,60952,0,0,,,Familia
2023-01-09,2,RR,Norte,youtube,0,0,822.8575,45714,0,0,,,Familia
2023-01-09,2,AP,Norte,youtube,0,0,1097.1425,60952,0,0,,,Familia
2023-01-09,2,TO,Norte,youtube,0,0,1919.9975,106666,0,0,,,Familia
