date,week,state,region,plan,ticket_brl,mau_active,new_subs,churn_new,churn_legacy,net_adds,revenue_brl
2023-01-02,1,SP,Sudeste,Familia,49.9,104557,603,70,616,-83,1204940.95
2023-01-02,1,SP,Sudeste,HBO,34.9,65344,374,25,405,-56,526675.66
2023-01-02,1,SP,Sudeste,Telecine,29.9,52284,299,21,314,-36,361037.32
2023-01-02,1,SP,Sudeste,Premiere,24.9,39190,185,23,212,-50,225365.13
2023-01-02,1,RJ,Sudeste,Familia,49.9,39347,239,24,228,-13,453444.64
2023-01-02,1,RJ,Sudeste,HBO,34.9,24582,123,10,131,-18,198132.06
2023-01-02,1,RJ,Sudeste,Telecine,29.9,19672,109,7,110,-8,135841.29
2023-01-02,1,RJ,Sudeste,Premiere,24.9,14748,83,10,85,-12,84809.52
2023-01-02,1,MG,Sudeste,Familia,49.9,48952,280,31,257,-8,564135.06
2023-01-02,1,MG,Sudeste,HBO,34.9,30558,162,11,192,-41,246298.89
2023-01-02,1,MG,Sudeste,Telecine,29.9,24465,146,11,150,-15,168938.45
2023-01-02,1,MG,Sudeste,Premiere,24.9,18328,85,12,104,-31,105396.58
2023-01-02,1,ES,Sudeste,Familia,49.9,9115,51,4,52,-5,105043.53
2023-01-02,1,ES,Sudeste,HBO,34.9,5700,35,2,33,0,45942.26
2023-01-02,1,ES,Sudeste,Telecine,29.9,4559,24,1,24,-1,31481.32
2023-01-02,1,ES,Sudeste,Premiere,24.9,3418,18,2,18,-2,19655.47
2023-01-02,1,PR,Sul,Familia,49.9,26874,158,15,149,-6,309702.68
2023-01-02,1,PR,Sul,HBO,34.9,16785,86,7,94,-15,135287.88
2023-01-02,1,PR,Sul,Telecine,29.9,13431,73,4,78,-9,92745.24
2023-01-02,1,PR,Sul,Premiere,24.9,10062,51,6,63,-18,57862.31
2023-01-02,1,SC,Sul,Familia,49.9,17273,97,11,93,-7,199058.36
2023-01-02,1,SC,Sul,HBO,34.9,10806,68,5,57,6,87096.86
2023-01-02,1,SC,Sul,Telecine,29.9,8645,54,3,46,5,59696.42
2023-01-02,1,SC,Sul,Premiere,24.9,6475,33,4,34,-5,37234.99
2023-01-02,1,RS,Sul,Familia,49.9,26882,168,17,149,2,309794.87
2023-01-02,1,RS,Sul,HBO,34.9,16799,104,9,96,-1,135400.72
2023-01-02,1,RS,Sul,Telecine,29.9,13441,86,5,80,1,92814.3
2023-01-02,1,RS,Sul,Premiere,24.9,10066,51,7,58,-14,57885.31
2023-01-02,1,BA,Nordeste,Familia,49.9,34565,226,25,196,5,398335.68
2023-01-02,1,BA,Nordeste,HBO,34.9,21593,126,9,124,-7,174040.58
2023-01-02,1,BA,Nordeste,Telecine,29.9,17277,98,7,94,-3,119303.07
2023-01-02,1,BA,Nordeste,Premiere,24.9,12956,73,9,68,-4,74504.48
2023-01-02,1,CE,Nordeste,Familia,49.9,21592,120,12,116,-8,248831.59
2023-01-02,1,CE,Nordeste,HBO,34.9,13504,84,7,73,4,108842.86
2023-01-02,1,CE,Nordeste,Telecine,29.9,10797,64,5,62,-3,74556.65
2023-01-02,1,CE,Nordeste,Premiere,24.9,8087,37,4,46,-13,46504.92
2023-01-02,1,PE,Nordeste,Familia,49.9,23013,130,15,142,-27,265207.55
2023-01-02,1,PE,Nordeste,HBO,34.9,14400,84,6,78,0,116064.67
2023-01-02,1,PE,Nordeste,Telecine,29.9,11517,65,4,64,-3,79528.48
2023-01-02,1,PE,Nordeste,Premiere,24.9,8626,42,5,51,-14,49604.48
2023-01-02,1,MA,Nordeste,Familia,49.9,16305,98,10,103,-15,187902.89
2023-01-02,1,MA,Nordeste,HBO,34.9,10194,50,3,53,-6,82164.11
2023-01-02,1,MA,Nordeste,Telecine,29.9,8157,47,3,47,-3,56326.63
2023-01-02,1,MA,Nordeste,Premiere,24.9,6111,29,3,35,-9,35141.78
2023-01-02,1,PB,Nordeste,Familia,49.9,9598,57,7,52,-2,110609.75
2023-01-02,1,PB,Nordeste,HBO,34.9,6000,38,2,36,0,48360.28
2023-01-02,1,PB,Nordeste,Telecine,29.9,4800,29,1,28,0,33145.5
2023-01-02,1,PB,Nordeste,Premiere,24.9,3594,18,2,22,-6,20667.58
2023-01-02,1,RN,Nordeste,Familia,49.9,8647,59,6,46,7,99650.18
2023-01-02,1,RN,Nordeste,HBO,34.9,5401,31,2,28,1,43532.31
2023-01-02,1,RN,Nordeste,Telecine,29.9,4320,24,1,23,0,29830.95
2023-01-02,1,RN,Nordeste,Premiere,24.9,3234,14,2,18,-6,18597.37
2023-01-02,1,AL,Nordeste,Familia,49.9,7680,46,5,41,0,88506.24
2023-01-02,1,AL,Nordeste,HBO,34.9,4795,26,2,29,-5,38647.92
2023-01-02,1,AL,Nordeste,Telecine,29.9,3838,21,1,22,-2,26502.59
2023-01-02,1,AL,Nordeste,Premiere,24.9,2878,14,1,15,-2,16550.16
2023-01-02,1,SE,Nordeste,Familia,49.9,5278,33,3,32,-2,60824.99
2023-01-02,1,SE,Nordeste,HBO,34.9,3300,19,1,18,0,26598.15
2023-01-02,1,SE,Nordeste,Telecine,29.9,2639,16,1,16,-1,18223.12
2023-01-02,1,SE,Nordeste,Premiere,24.9,1979,10,1,10,-1,11380.39
2023-01-02,1,PI,Nordeste,Familia,49.9,7675,46,4,47,-5,88448.61
2023-01-02,1,PI,Nordeste,HBO,34.9,4802,28,1,25,2,38704.34
2023-01-02,1,PI,Nordeste,Telecine,29.9,3837,21,1,23,-3,26495.68
2023-01-02,1,PI,Nordeste,Premiere,24.9,2876,12,1,15,-4,16538.66
2023-01-02,1,GO,Centro-Oeste,Familia,49.9,15832,97,10,95,-8,182451.92
2023-01-02,1,GO,Centro-Oeste,HBO,34.9,9900,62,5,57,0,79794.46
2023-01-02,1,GO,Centro-Oeste,Telecine,29.9,7921,47,2,44,1,54696.97
2023-01-02,1,GO,Centro-Oeste,Premiere,24.9,5930,27,4,33,-10,34100.92
2023-01-02,1,MT,Centro-Oeste,Familia,49.9,8151,44,5,48,-9,93934.16
2023-01-02,1,MT,Centro-Oeste,HBO,34.9,5098,29,2,29,-2,41090.12
2023-01-02,1,MT,Centro-Oeste,Telecine,29.9,4081,26,1,24,1,28180.58
2023-01-02,1,MT,Centro-Oeste,Premiere,24.9,3052,13,2,19,-8,17550.76
2023-01-02,1,MS,Centro-Oeste,Familia,49.9,6238,37,4,35,-2,71888.27
2023-01-02,1,MS,Centro-Oeste,HBO,34.9,3897,23,2,24,-3,31410.0
2023-01-02,1,MS,Centro-Oeste,Telecine,29.9,3120,18,1,17,0,21544.57
2023-01-02,1,MS,Centro-Oeste,Premiere,24.9,2337,11,1,13,-3,13439.1
2023-01-02,1,DF,Centro-Oeste,Familia,49.9,6716,41,5,40,-4,77396.86
2023-01-02,1,DF,Centro-Oeste,HBO,34.9,4195,22,1,26,-5,33811.89
2023-01-02,1,DF,Centro-Oeste,Telecine,29.9,3359,19,1,19,-1,23194.94
2023-01-02,1,DF,Centro-Oeste,Premiere,24.9,2516,12,1,15,-4,14468.45
2023-01-02,1,AM,Norte,Familia,49.9,9599,58,6,53,-1,110621.27
2023-01-02,1,AM,Norte,HBO,34.9,5996,36,3,37,-4,48328.04
2023-01-02,1,AM,Norte,Telecine,29.9,4800,29,2,27,0,33145.5
2023-01-02,1,AM,Norte,Premiere,24.9,3594,18,2,22,-6,20667.58
2023-01-02,1,PA,Norte,Familia,49.9,20161,128,15,112,1,232340.39
2023-01-02,1,PA,Norte,HBO,34.9,12598,68,5,65,-2,101540.46
2023-01-02,1,PA,Norte,Telecine,29.9,10076,57,3,58,-4,69577.92
2023-01-02,1,PA,Norte,Premiere,24.9,7556,39,4,39,-4,43451.36
2023-01-02,1,RO,Norte,Familia,49.9,3836,19,2,21,-4,44207.02
2023-01-02,1,RO,Norte,HBO,34.9,2400,14,1,13,0,19344.11
2023-01-02,1,RO,Norte,Telecine,29.9,1920,10,0,10,0,13258.2
2023-01-02,1,RO,Norte,Premiere,24.9,1439,7,0,8,-1,8275.08
2023-01-02,1,AC,Norte,Familia,49.9,1917,10,1,12,-3,22091.99
2023-01-02,1,AC,Norte,HBO,34.9,1199,5,0,6,-1,9664.0
2023-01-02,1,AC,Norte,Telecine,29.9,960,5,0,5,0,6629.1
2023-01-02,1,AC,Norte,Premiere,24.9,720,3,0,3,0,4140.42
2023-01-02,1,RR,Norte,Familia,49.9,1441,8,0,7,1,16606.44
2023-01-02,1,RR,Norte,HBO,34.9,901,5,0,4,1,7262.1
2023-01-02,1,RR,Norte,Telecine,29.9,720,4,0,4,0,4971.82
2023-01-02,1,RR,Norte,Premiere,24.9,541,3,0,2,1,3111.06
2023-01-02,1,AP,Norte,Familia,49.9,1920,12,1,11,0,22126.56
2023-01-02,1,AP,Norte,HBO,34.9,1201,7,0,6,1,9680.12
2023-01-02,1,AP,Norte,Telecine,29.9,960,5,0,5,0,6629.1
2023-01-02,1,AP,Norte,Premiere,24.9,719,3,0,4,-1,4134.67
2023-01-02,1,TO,Norte,Familia,49.9,3359,17,1,17,-1,38709.95
2023-01-02,1,TO,Norte,HBO,34.9,2100,13,1,12,0,16926.1
2023-01-02,1,TO,Norte,Telecine,29.9,1679,8,0,9,-1,11594.02
2023-01-02,1,TO,Norte,Premiere,24.9,1259,6,0,7,-1,7239.98
2023-01-09,2,SP,Sudeste,Familia,49.9,104558,602,63,621,-82,1204952.47
2023-01-09,2,SP,Sudeste,HBO,34.9,65381,393,31,381,-19,526973.88
2023-01-09,2,SP,Sudeste,Telecine,29.9,52265,294,23,326,-55,360906.12
2023-01-09,2,SP,Sudeste,Premiere,24.9,39208,200,25,207,-32,225468.64
2023-01-09,2,RJ,Sudeste,Familia,49.9,39349,229,21,219,-11,453467.69
2023-01-09,2,RJ,Sudeste,HBO,34.9,24594,133,11,128,-6,198228.78
2023-01-09,2,RJ,Sudeste,Telecine,29.9,19662,106,6,118,-18,135772.24
2023-01-09,2,RJ,Sudeste,Premiere,24.9,14735,77,11,91,-25,84734.76
2023-01-09,2,MG,Sudeste,Familia,49.9,48963,297,30,264,3,564261.82
2023-01-09,2,MG,Sudeste,HBO,34.9,30580,183,15,187,-19,246476.21
2023-01-09,2,MG,Sudeste,Telecine,29.9,24461,139,9,149,-19,168910.83
2023-01-09,2,MG,Sudeste,Premiere,24.9,18323,90,11,115,-36,105367.83
2023-01-09,2,ES,Sudeste,Familia,49.9,9110,51,6,55,-10,104985.91
